season,team,conference,total_wins,total_losses,sp_rating,sp_rank,talent_top40,talent_top40_rank,bcr,bcr_rank,bluechips,bluechips_rank,roster_n,proven_vets,proven_vets_rank,returning_prod,returning_prod_rank,dev_total,dev_total_rank,achievement,achievement_rank,ach_offense,ach_defense,stale_2026_roster
2016,Ole Miss,SEC,5.0,7.0,12.4,25.0,21.792499999999997,16.0,0.122,5.0,15,4.0,123,,,,,531.9348557244551,59.0,4.5,47.0,6.64,-3.39,False
2016,Florida State,ACC,10.0,3.0,24.0,7.0,21.5569,17.0,0.1032,11.0,13,9.0,126,,,,,714.325903501612,17.0,16.35,11.0,10.43,5.86,False
2016,SMU,ACC,5.0,7.0,-10.8,104.0,21.368899999999996,18.0,0.0,105.0,0,105.0,114,,,,,572.3395820145375,54.0,-18.25,122.0,-7.79,-7.82,False
2016,Tennessee,SEC,9.0,4.0,16.3,15.0,21.2655,19.0,0.0917,16.0,11,12.0,120,,,,,664.1634221233422,30.0,8.96,29.0,7.85,-0.36,False
2016,Clemson,ACC,14.0,1.0,28.7,2.0,20.8718,20.0,0.125,4.0,14,7.0,112,,,,,828.7805822091847,3.0,21.77,4.0,11.6,10.99,False
2016,LSU,SEC,8.0,4.0,25.3,5.0,20.857799999999997,21.0,0.1217,6.0,14,7.0,115,,,,,742.6460232455681,11.0,18.39,8.0,2.31,16.1,False
2016,Kentucky,SEC,7.0,6.0,-2.6,78.0,20.395899999999997,22.0,0.0175,70.0,2,57.0,114,,,,,668.9295146535991,27.0,-9.03,98.0,-0.91,-8.01,False
2016,Tulane,American Athletic,4.0,8.0,-14.6,115.0,20.389899999999997,23.0,0.0208,57.0,2,57.0,96,,,,,,,-21.02,125.0,-16.0,-3.01,False
2016,Troy,Sun Belt,10.0,3.0,1.1,63.0,20.207,24.0,0.0085,98.0,1,81.0,118,,,,,,,-5.13,84.0,-5.93,0.41,False
2016,Wyoming,Mountain West,8.0,6.0,-6.9,95.0,20.152700000000003,25.0,0.0,105.0,0,105.0,109,,,,,,,-13.07,109.0,-1.21,-11.96,False
2016,Texas State,Pac-12,2.0,10.0,-25.5,128.0,19.881899999999998,26.0,0.0085,98.0,1,81.0,118,,,,,420.89162548831257,75.0,-31.38,128.0,-13.1,-16.79,False
2016,Missouri,SEC,4.0,8.0,-1.0,70.0,19.8094,27.0,0.0467,27.0,5,27.0,107,,,,,648.5667997223941,37.0,-6.81,91.0,-0.27,-5.54,False
2016,Maryland,Big Ten,6.0,7.0,-0.6,67.0,19.5141,28.0,0.0268,47.0,3,43.0,112,,,,,626.4047918278382,41.0,-6.09,87.0,-2.65,-2.15,False
2016,Iowa,Big Ten,8.0,5.0,10.3,37.0,19.513900000000003,29.0,0.0088,94.0,1,81.0,114,,,,,614.0557455393252,43.0,4.81,45.0,-2.35,7.05,False
2016,Middle Tennessee,Conference USA,8.0,5.0,-1.9,74.0,19.341,30.0,0.0273,45.0,3,43.0,110,,,,,,,-7.21,94.0,3.71,-10.75,False
2016,Kansas,Big 12,2.0,10.0,-15.9,119.0,19.2511,31.0,0.0339,38.0,4,29.0,118,,,,,455.759082542932,70.0,-21.12,126.0,-10.25,-9.89,False
2016,USC,Big Ten,10.0,3.0,23.6,8.0,19.064599999999995,32.0,0.1048,10.0,11,12.0,105,,,,,725.959846143752,14.0,18.58,6.0,8.03,9.13,False
2016,Temple,American Athletic,10.0,4.0,11.9,28.0,18.8321,33.0,0.0252,52.0,3,43.0,119,,,,,,,7.13,34.0,0.42,6.57,False
2016,Houston,Big 12,9.0,4.0,10.1,39.0,18.7239,34.0,0.0342,37.0,4,29.0,117,,,,,631.9759230336743,39.0,5.44,44.0,-0.24,4.74,False
2016,Utah,Big 12,9.0,4.0,10.9,35.0,18.532500000000006,35.0,0.0,105.0,0,105.0,135,,,,,734.3715059213748,13.0,6.44,40.0,1.54,2.96,False
2016,Oklahoma,SEC,11.0,2.0,26.1,4.0,18.093600000000002,36.0,0.1074,9.0,13,9.0,121,,,,,725.9488228908469,15.0,22.1,3.0,17.91,3.94,False
2016,West Virginia,Big 12,10.0,3.0,11.3,32.0,18.026100000000003,37.0,0.0238,56.0,3,43.0,126,,,,,706.5684097761015,19.0,7.38,33.0,4.94,4.08,False
2016,Navy,American Athletic,9.0,5.0,6.8,52.0,17.8211,38.0,0.0123,80.0,2,57.0,163,,,,,,,3.09,53.0,9.12,-6.89,False
2016,Florida International,Conference USA,4.0,8.0,-19.0,125.0,17.767400000000002,39.0,0.0174,71.0,2,57.0,115,,,,,,,-22.65,127.0,-5.66,-15.16,False
2016,Washington State,Pac-12,8.0,5.0,6.2,54.0,17.725199999999997,40.0,0.0263,49.0,3,43.0,114,,,,,683.1335189405654,24.0,2.59,57.0,5.56,-0.73,False
2016,Michigan State,Big Ten,3.0,9.0,7.4,50.0,17.6497,41.0,0.0841,19.0,9,18.0,107,,,,,513.9617565544123,64.0,3.87,51.0,0.39,3.02,False
2016,Colorado State,Pac-12,7.0,6.0,0.8,64.0,17.599,42.0,0.0263,49.0,3,43.0,114,,,,,666.3008593683255,28.0,-2.67,76.0,2.91,-6.85,False
2016,Georgia Southern,Sun Belt,5.0,7.0,-3.9,84.0,17.2979,43.0,0.0164,75.0,2,57.0,122,,,,,,,-7.06,93.0,-2.67,-5.26,False
2016,California,ACC,5.0,7.0,2.4,62.0,17.2601,44.0,0.0333,39.0,4,29.0,120,,,,,592.9820017736847,50.0,-0.72,70.0,7.95,-8.94,False
2016,Florida,SEC,9.0,4.0,15.4,20.0,17.258,45.0,0.0932,15.0,11,12.0,118,,,,,583.6915417306152,53.0,12.29,19.0,-3.85,13.36,False
2016,Florida Atlantic,American Athletic,3.0,9.0,-14.1,113.0,17.1622,46.0,0.0,105.0,0,105.0,123,,,,,,,-17.11,119.0,-1.72,-16.08,False
2016,Tulsa,American Athletic,10.0,3.0,7.4,50.0,17.1555,47.0,0.0094,86.0,1,81.0,106,,,,,,,4.39,50.0,4.19,-0.17,False
2016,Pittsburgh,ACC,8.0,5.0,13.1,23.0,17.108,48.0,0.0192,60.0,2,57.0,104,,,,,881.2335864860939,1.0,10.14,26.0,12.61,-1.94,False
2016,UCF,Big 12,6.0,7.0,-2.2,76.0,16.9654,49.0,0.0256,51.0,3,43.0,117,,,,,609.5710732375352,46.0,-5.0,83.0,-11.04,4.25,False
2016,Wisconsin,Big Ten,11.0,3.0,16.1,16.0,16.8812,50.0,0.0392,31.0,4,29.0,102,,,,,686.7158358945834,23.0,13.38,18.0,0.2,12.8,False
2016,Cincinnati,Big 12,4.0,8.0,-3.6,82.0,16.8473,51.0,0.0194,58.0,2,57.0,103,,,,,590.4323748875779,52.0,-6.28,89.0,-5.79,0.32,False
2016,App State,Sun Belt,10.0,3.0,9.2,43.0,16.7791,52.0,0.0103,82.0,1,81.0,97,,,,,,,6.59,38.0,-0.26,7.16,False
2016,Old Dominion,Sun Belt,10.0,3.0,-0.7,69.0,16.744,53.0,0.0,105.0,0,105.0,107,,,,,,,-3.27,78.0,-0.35,-3.21,False
2016,Syracuse,ACC,4.0,8.0,-2.7,79.0,16.729400000000002,54.0,0.0,105.0,0,105.0,108,,,,,503.48760530503523,67.0,-5.26,85.0,-1.04,-3.5,False
2016,Massachusetts,Mid-American,2.0,10.0,-15.3,118.0,16.656399999999998,55.0,0.0,105.0,0,105.0,107,,,,,,,-17.78,121.0,-6.51,-8.96,False
2016,NC State,ACC,7.0,6.0,9.4,41.0,16.4762,56.0,0.0,105.0,0,105.0,107,,,,,694.3189106114552,20.0,7.11,35.0,0.36,8.55,False
2016,Louisville,ACC,9.0,4.0,22.9,9.0,16.37,57.0,0.0268,47.0,3,43.0,112,,,,,839.8498959285901,2.0,20.72,5.0,10.7,10.22,False
2016,Oklahoma State,Big 12,10.0,3.0,16.4,13.0,16.283299999999997,58.0,0.0325,40.0,4,29.0,123,,,,,713.6671672746004,18.0,14.32,15.0,12.34,0.98,False
2016,Nebraska,Big Ten,9.0,4.0,10.3,37.0,16.2804,59.0,0.0305,41.0,4,29.0,131,,,,,665.1895627134404,29.0,8.22,32.0,7.64,-0.32,False
2016,Wake Forest,ACC,7.0,6.0,-0.6,67.0,16.2454,60.0,0.0404,29.0,4,29.0,99,,,,,505.98917040682875,66.0,-2.64,75.0,-8.55,5.1,False
2016,Eastern Michigan,Mid-American,7.0,6.0,-8.2,97.0,16.2079,61.0,0.0087,97.0,1,81.0,115,,,,,,,-10.21,101.0,-1.73,-8.58,False
2016,East Carolina,American Athletic,3.0,9.0,-9.0,100.0,16.0491,62.0,0.0377,33.0,4,29.0,106,,,,,,,-10.84,105.0,-2.77,-6.98,False
2016,Penn State,Big Ten,11.0,3.0,19.0,11.0,16.0432,63.0,0.0804,20.0,9,18.0,112,,,,,691.213658753922,21.0,17.17,10.0,8.03,7.23,False
2016,Arizona,Big 12,3.0,9.0,-4.5,87.0,16.0255,64.0,0.0169,72.0,2,57.0,118,,,,,431.9001162956848,74.0,-6.31,90.0,-0.36,-4.26,False
2016,Indiana,Big Ten,6.0,7.0,4.6,57.0,15.9822,65.0,0.0091,91.0,1,81.0,110,,,,,629.7871597404861,40.0,2.83,55.0,-4.84,8.76,False
2016,Fresno State,Pac-12,1.0,11.0,-16.9,122.0,15.8063,66.0,0.0168,74.0,2,57.0,119,,,,,443.59380328496235,71.0,-18.48,123.0,-13.47,-5.62,False
2016,Minnesota,Big Ten,9.0,4.0,12.6,24.0,15.719100000000001,67.0,0.0185,62.0,2,57.0,108,,,,,547.4350386040104,56.0,11.11,24.0,-2.04,10.83,False
2016,Marshall,Sun Belt,3.0,9.0,-12.7,110.0,15.696000000000002,68.0,0.0096,85.0,1,81.0,104,,,,,,,-14.16,112.0,-5.23,-7.46,False
2016,Baylor,Big 12,7.0,6.0,11.3,32.0,15.668200000000002,69.0,0.0185,62.0,2,57.0,108,,,,,749.5461603618476,10.0,9.86,28.0,7.18,4.16,False
2016,Southern Miss,Sun Belt,7.0,6.0,0.7,65.0,15.652,70.0,0.0088,94.0,1,81.0,114,,,,,,,-0.72,70.0,-0.71,-1.23,False
2016,San Diego State,Pac-12,11.0,3.0,11.4,31.0,15.5838,71.0,0.0085,98.0,1,81.0,118,,,,,788.5134483681964,5.0,10.05,27.0,2.21,5.92,False
2016,Texas A&M,SEC,8.0,5.0,12.0,27.0,15.5002,72.0,0.0374,34.0,4,29.0,107,,,,,787.0993925954878,6.0,10.74,25.0,7.45,2.37,False
2016,Memphis,American Athletic,8.0,5.0,7.7,49.0,15.276499999999999,73.0,0.0091,91.0,1,81.0,110,,,,,,,6.68,37.0,4.14,-0.69,False
2016,Texas Tech,Big 12,5.0,7.0,3.7,59.0,15.2072,74.0,0.0252,52.0,3,43.0,119,,,,,613.2720268600872,44.0,2.75,56.0,10.96,-8.25,False
2016,Mississippi State,SEC,6.0,7.0,5.4,56.0,15.058300000000001,75.0,0.056,23.0,7,21.0,125,,,,,601.5742203792372,49.0,4.61,46.0,4.92,0.95,False
2016,Virginia,ACC,2.0,10.0,-3.8,83.0,14.9458,76.0,0.0,105.0,0,105.0,99,,,,,441.8382323680973,72.0,-4.47,81.0,-4.13,0.32,False
2016,Arizona State,Big 12,5.0,7.0,-3.0,81.0,14.935899999999998,77.0,0.0484,24.0,6,24.0,124,,,,,511.6331427882372,65.0,-3.66,79.0,2.67,-8.78,False
2016,UConn,FBS Independents,3.0,9.0,-11.6,107.0,14.891499999999999,78.0,0.0291,43.0,3,43.0,103,,,,,,,-12.22,108.0,-9.71,-2.05,False
2016,Toledo,Mid-American,9.0,4.0,12.3,26.0,14.848700000000001,79.0,0.0169,72.0,2,57.0,118,,,,,,,11.73,21.0,11.11,1.48,False
2016,Louisiana,Sun Belt,6.0,7.0,-8.7,99.0,14.712700000000002,80.0,0.0081,103.0,1,81.0,124,,,,,,,-9.13,99.0,-9.64,-0.44,False
2016,Washington,Big Ten,12.0,2.0,26.7,3.0,14.5896,81.0,0.0367,35.0,4,29.0,109,,,,,645.849191042657,38.0,26.4,1.0,10.81,15.14,False
2016,Miami (OH),Mid-American,6.0,7.0,-6.1,91.0,14.473600000000001,82.0,0.0,105.0,0,105.0,104,,,,,,,-6.27,88.0,-5.54,0.11,False
2016,Virginia Tech,ACC,10.0,4.0,15.2,22.0,14.439200000000001,83.0,0.0,105.0,0,105.0,118,,,,,766.3951515894923,8.0,15.06,14.0,5.17,9.53,False
2016,Duke,ACC,4.0,8.0,-2.8,80.0,14.3126,84.0,0.0303,42.0,3,43.0,99,,,,,519.4452375551376,63.0,-2.8,77.0,-2.48,1.61,False
2016,Ball State,Mid-American,4.0,8.0,-7.0,96.0,14.305599999999998,85.0,0.0,105.0,0,105.0,104,,,,,,,-7.0,92.0,-1.08,-5.88,False
2016,Georgia State,Sun Belt,3.0,9.0,-12.1,109.0,14.247300000000001,86.0,0.0,105.0,0,105.0,108,,,,,,,-12.04,107.0,-11.95,2.56,False
2016,Kansas State,Big 12,9.0,4.0,8.2,45.0,14.118599999999999,87.0,0.016,77.0,2,57.0,125,,,,,602.2497017992655,48.0,8.4,31.0,5.0,2.14,False
2016,New Mexico,Mountain West,9.0,4.0,-5.1,89.0,14.1104,88.0,0.0156,78.0,2,57.0,128,,,,,,,-4.89,82.0,3.0,-9.26,False
2016,Oregon,Big Ten,4.0,8.0,6.1,55.0,14.0475,89.0,0.0476,26.0,6,24.0,126,,,,,673.0490868007488,26.0,6.37,41.0,13.33,-6.72,False
2016,Louisiana Tech,Sun Belt,9.0,5.0,3.1,60.0,13.9852,90.0,0.0082,102.0,1,81.0,122,,,,,,,3.44,52.0,10.65,-7.48,False
2016,UTSA,American Athletic,6.0,7.0,-11.2,106.0,13.8626,91.0,0.0079,104.0,1,81.0,126,,,,,,,-10.73,104.0,-6.4,-4.1,False
2016,Rutgers,Big Ten,2.0,10.0,-14.9,117.0,13.5974,92.0,0.0185,62.0,2,57.0,108,,,,,476.5683204477537,69.0,-14.15,111.0,-11.69,-0.24,False
2016,South Alabama,Sun Belt,6.0,7.0,-9.4,101.0,13.511099999999999,93.0,0.0248,54.0,3,43.0,121,,,,,,,-8.56,96.0,-3.76,-3.58,False
2016,TCU,Big 12,6.0,7.0,11.0,34.0,13.3481,94.0,0.0583,22.0,7,21.0,120,,,,,736.4729326568021,12.0,12.01,20.0,5.61,6.42,False
2016,Purdue,Big Ten,3.0,9.0,-11.0,105.0,13.22,95.0,0.0093,90.0,1,81.0,108,,,,,526.5466107742783,61.0,-9.85,100.0,-3.74,-5.7,False
2016,UTEP,Mountain West,4.0,8.0,-16.1,120.0,13.1528,96.0,0.0164,75.0,2,57.0,122,,,,,,,-14.88,114.0,-3.82,-10.66,False
2016,Ohio,Mid-American,8.0,6.0,-2.1,75.0,12.9892,97.0,0.0185,62.0,2,57.0,108,,,,,,,-0.71,69.0,-6.75,4.25,False
2016,North Carolina,ACC,8.0,5.0,15.9,17.0,12.8884,98.0,0.0,105.0,0,105.0,103,,,,,660.3641085233078,32.0,17.4,9.0,9.79,5.51,False
2016,Kent State,Mid-American,3.0,9.0,-12.0,108.0,12.7767,99.0,0.0194,58.0,2,57.0,103,,,,,,,-10.38,102.0,-12.06,2.78,False
2016,South Florida,American Athletic,11.0,2.0,9.8,40.0,12.775800000000002,100.0,0.018,68.0,2,57.0,111,,,,,,,11.42,23.0,15.74,-4.72,False
2016,Nevada,Mountain West,5.0,7.0,-13.0,111.0,12.764,101.0,0.0,105.0,0,105.0,114,,,,,,,-11.37,106.0,-2.46,-7.71,False
2016,Vanderbilt,SEC,6.0,7.0,-1.2,71.0,12.726799999999999,102.0,0.0103,82.0,1,81.0,97,,,,,618.6597523493393,42.0,0.47,65.0,-3.34,3.91,False
2016,Western Michigan,Mid-American,13.0,1.0,11.5,29.0,12.395000000000001,103.0,0.0115,81.0,1,81.0,87,,,,,,,13.52,17.0,11.49,1.52,False
2016,Bowling Green,Mid-American,4.0,8.0,-6.6,93.0,12.2152,104.0,0.0183,66.0,2,57.0,109,,,,,,,-4.39,80.0,-3.44,-1.27,False
2016,Rice,American Athletic,3.0,9.0,-16.5,121.0,12.139899999999999,105.0,0.0094,86.0,1,81.0,106,,,,,,,-14.21,113.0,-5.61,-8.02,False
2016,Arkansas State,Sun Belt,8.0,5.0,-1.2,71.0,11.987900000000002,106.0,0.042,28.0,5,27.0,119,,,,,,,1.25,61.0,-6.45,9.58,False
2016,Air Force,Mountain West,10.0,3.0,4.4,58.0,11.739099999999999,107.0,0.0284,44.0,4,29.0,141,,,,,,,7.11,35.0,4.75,0.93,False
2016,Northern Illinois,Mountain West,5.0,7.0,-2.4,77.0,11.5451,108.0,0.0094,86.0,1,81.0,106,,,,,,,0.52,64.0,3.83,-1.75,False
2016,Buffalo,Mid-American,2.0,10.0,-18.8,124.0,11.0696,109.0,0.0273,45.0,3,43.0,110,,,,,,,-15.38,115.0,-11.18,-2.25,False
2016,New Mexico State,Conference USA,3.0,9.0,-17.2,123.0,11.012200000000002,110.0,0.009,93.0,1,81.0,111,,,,,,,-13.72,110.0,-4.76,-8.21,False
2016,Northwestern,Big Ten,7.0,6.0,2.9,61.0,10.9421,111.0,0.0,105.0,0,105.0,94,,,,,604.249692447109,47.0,6.45,39.0,-0.03,7.83,False
2016,Boise State,Pac-12,10.0,3.0,11.5,29.0,10.8144,112.0,0.0,105.0,0,105.0,99,,,,,715.6508437098921,16.0,15.19,13.0,8.82,6.41,False
2016,Iowa State,Big 12,3.0,9.0,0.7,65.0,10.7991,113.0,0.0,105.0,0,105.0,122,,,,,533.765613724258,58.0,4.4,49.0,-0.88,2.92,False
2016,Charlotte,American Athletic,4.0,8.0,-20.9,126.0,10.724,114.0,0.0,105.0,0,105.0,121,,,,,,,-17.12,120.0,-10.25,-5.43,False
2016,Utah State,Pac-12,3.0,9.0,-4.4,86.0,10.717300000000002,115.0,0.0182,67.0,2,57.0,110,,,,,536.1244430038663,57.0,-0.61,68.0,-3.14,3.77,False
2016,UNLV,Mountain West,4.0,8.0,-14.3,114.0,10.690000000000001,116.0,0.0098,84.0,1,81.0,102,,,,,,,-10.48,103.0,-1.13,-8.91,False
2016,Boston College,ACC,7.0,6.0,-1.6,73.0,9.869299999999999,117.0,0.0,105.0,0,105.0,89,,,,,530.1834224158137,60.0,3.08,54.0,-7.4,11.21,False
2016,Hawai'i,Mountain West,7.0,7.0,-10.1,103.0,9.7471,118.0,0.0,105.0,0,105.0,125,,,,,,,-5.29,86.0,1.14,-8.72,False
2016,San José State,Mountain West,4.0,8.0,-13.6,112.0,9.6532,119.0,0.0,105.0,0,105.0,102,,,,,,,-8.69,97.0,-5.02,-4.56,False
2016,UL Monroe,Sun Belt,4.0,8.0,-21.3,127.0,9.6001,120.0,0.0385,32.0,4,29.0,104,,,,,,,-16.33,117.0,-7.0,-9.32,False
2016,Oregon State,Pac-12,4.0,8.0,-4.6,88.0,9.3522,121.0,0.0179,69.0,2,57.0,112,,,,,548.7331038823836,55.0,0.63,63.0,-1.2,2.33,False
2016,Colorado,Big 12,10.0,4.0,6.3,53.0,9.2882,122.0,0.0083,101.0,1,81.0,121,,,,,653.5190969341372,36.0,11.6,22.0,2.03,10.67,False
2016,North Texas,American Athletic,5.0,8.0,-14.6,115.0,8.1417,123.0,0.0,105.0,0,105.0,114,,,,,,,-8.09,95.0,-4.81,-4.41,False
2016,Central Michigan,Mid-American,6.0,7.0,-6.1,91.0,8.080300000000001,124.0,0.0094,86.0,1,81.0,106,,,,,,,0.47,65.0,0.81,1.73,False
2016,Western Kentucky,Conference USA,11.0,3.0,15.5,19.0,7.6011,125.0,0.0192,60.0,2,57.0,104,,,,,,,22.58,2.0,14.1,7.63,False
2016,Akron,Mid-American,5.0,7.0,-5.6,90.0,7.279799999999999,126.0,0.0088,94.0,1,81.0,114,,,,,,,1.82,59.0,-4.17,5.43,False
2016,Idaho,Big Sky,9.0,4.0,-8.6,98.0,4.6075,127.0,0.0,105.0,0,105.0,55,,,,,,,1.64,60.0,-0.7,0.41,False
2016,BYU,Big 12,9.0,4.0,8.0,46.0,4.3274,128.0,0.024,55.0,3,43.0,125,,,,,656.8198972121348,35.0,18.53,7.0,4.31,12.39,False
2017,Alabama,SEC,13.0,1.0,33.5,1.0,37.8325,1.0,0.2619,2.0,33,1.0,126,,,0.7238,39.0,719.2240382686497,13.0,20.44,6.0,3.85,16.56,False
2017,Ohio State,Big Ten,12.0,2.0,30.9,2.0,37.37520000000001,2.0,0.2895,1.0,33,1.0,114,,,0.7923,28.0,782.3934959645112,6.0,18.33,10.0,8.31,9.58,False
2017,LSU,SEC,9.0,4.0,21.1,11.0,37.1673,3.0,0.2581,3.0,32,4.0,124,,,0.6891,47.0,662.4061557229651,28.0,8.76,26.0,1.12,8.48,False
2017,Georgia,SEC,13.0,2.0,26.7,4.0,37.1616,4.0,0.2366,4.0,31,5.0,131,,,0.7752,30.0,526.4684819936374,62.0,14.36,16.0,5.13,7.08,False
2017,Michigan,Big Ten,8.0,5.0,19.6,13.0,37.1401,5.0,0.2308,5.0,33,1.0,143,,,0.611,66.0,573.9166492546383,54.0,7.29,35.0,-3.36,10.69,False
2017,Florida,SEC,4.0,7.0,10.1,34.0,35.9423,6.0,0.1545,14.0,19,9.0,123,,,0.801,26.0,562.5160568257985,57.0,-0.92,73.0,-2.98,0.67,False
2017,Notre Dame,FBS Independents,10.0,3.0,20.8,12.0,35.7909,7.0,0.1712,10.0,19,9.0,111,,,0.5197,85.0,,,9.95,21.0,3.7,6.24,False
2017,Ole Miss,SEC,6.0,6.0,11.6,26.0,35.7803,8.0,0.1508,17.0,19,9.0,126,,,0.2991,113.0,597.7990707308253,41.0,0.76,62.0,5.21,-5.65,False
2017,Texas A&M,SEC,7.0,6.0,9.4,36.0,35.7492,9.0,0.1597,13.0,19,9.0,119,,,0.336,109.0,698.7404455703058,19.0,-1.41,76.0,-0.58,-2.04,False
2017,UCLA,Big Ten,6.0,7.0,4.9,51.0,35.732299999999995,10.0,0.1538,15.0,18,13.0,117,,,0.6648,55.0,800.6597030735497,3.0,-5.89,90.0,5.63,-11.33,False
2017,Stanford,ACC,9.0,5.0,15.8,20.0,35.6061,11.0,0.1635,12.0,17,16.0,104,,,0.5956,71.0,680.0725977815673,24.0,5.15,41.0,4.11,-1.27,False
2017,Tennessee,SEC,4.0,8.0,1.2,67.0,35.5867,12.0,0.1261,21.0,15,19.0,119,,,0.2225,122.0,495.3100813629739,69.0,-9.43,101.0,-7.78,-2.46,False
2017,USC,Big Ten,11.0,3.0,17.9,17.0,35.3464,13.0,0.1892,8.0,21,8.0,111,,,0.6863,49.0,803.3762785926255,2.0,7.53,33.0,5.05,3.36,False
2017,Miami,ACC,10.0,3.0,17.4,18.0,35.2288,14.0,0.1524,16.0,16,17.0,105,,,0.3067,111.0,739.9328044635371,9.0,7.16,36.0,1.92,6.41,False
2017,Florida State,ACC,7.0,6.0,22.8,9.0,34.949999999999996,15.0,0.2131,6.0,26,6.0,122,,,0.6033,68.0,604.0888525803512,39.0,12.86,17.0,0.08,11.05,False
2017,Louisville,ACC,8.0,5.0,19.2,14.0,34.9046,16.0,0.0818,26.0,9,25.0,110,,,0.6703,53.0,733.8798311663556,11.0,9.31,23.0,10.1,-1.33,False
2017,Arkansas,SEC,4.0,8.0,2.1,63.0,34.3866,17.0,0.0678,30.0,8,28.0,118,,,0.5659,76.0,643.9167230185645,32.0,-7.23,94.0,1.19,-7.98,False
2017,Iowa,Big Ten,8.0,5.0,9.8,35.0,34.2461,18.0,0.0252,63.0,3,51.0,119,,,0.3013,112.0,659.1132584799801,29.0,0.62,64.0,-4.43,4.49,False
2017,Missouri,SEC,7.0,6.0,11.1,28.0,34.0673,19.0,0.0522,36.0,6,33.0,115,,,0.8366,14.0,713.2170137654298,15.0,2.11,55.0,2.78,-2.43,False
2017,Texas,SEC,7.0,6.0,10.6,30.0,33.8767,20.0,0.1651,11.0,18,13.0,109,,,0.6403,58.0,590.7793342416727,47.0,1.82,58.0,-5.92,7.77,False
2017,Arizona,Big 12,7.0,6.0,3.7,59.0,33.8298,21.0,0.0325,51.0,4,43.0,123,,,0.714,43.0,701.8042741048343,18.0,-5.03,88.0,5.51,-9.81,False
2017,Illinois,Big Ten,2.0,10.0,-7.4,96.0,33.6534,22.0,0.0481,38.0,5,37.0,104,,,0.507,87.0,519.8839047303695,64.0,-15.94,117.0,-10.89,-5.73,False
2017,South Carolina,SEC,9.0,4.0,7.8,41.0,33.6335,23.0,0.0857,24.0,9,25.0,105,,,0.8802,8.0,595.7286787234101,45.0,-0.72,71.0,-4.08,4.48,False
2017,Cincinnati,Big 12,4.0,8.0,-6.4,95.0,33.508399999999995,24.0,0.03,53.0,3,51.0,100,,,0.732,37.0,510.9123167341211,68.0,-14.78,114.0,-9.11,-3.96,False
